01_074,"Wheat, whole grains, raw","Blé, grain entier, cru",01_074,"Wheat, whole grains, raw","Blé, grains entiers, cru"
"02 Starchy roots, tubers and their products/Racines féculentes, tubercules et produits dérivés",,,"02 Starchy roots, tubers and their products/Racines amylacées, tubercules et produits dérivés",,
02_001,"Cassava, tuber, raw","Manioc, racine, crue",02_001,"Cassava, tuber, white flesh, raw","Manioc, tubercule, chair blanche, cru"
02_003,"Cassava, tuber, boiled* (without salt)","Manioc, racine, bouillie* (sans sel)",02_003,"Cassava, tuber, white flesh, boiled* (without salt), drained","Manioc, tubercule, chair blanche, bouilli* (sans sel), égoutté"
02_002,"Cassava, tuber, dried","Manioc, racine, séchée",02_002,"Cassava, tuber, white flesh, dried","Manioc, tubercule, chair blanche, séché"
02_021,"Cassava sweet, tuber, dried","Manioc doux, racine, séchée",02_021,"Cassava, sweet, tuber, white flesh, dried","Manioc, doux, tubercule, chair blanche, séché"
02_004,Cassava flour,"Manioc, farine",02_004,"Cassava, flour, from white cassava","Manioc, farine, de manioc blanc"
02_005,"Cocoyam, tuber, raw ","Chou caraïbe, racine, crue",02_005,"Cocoyam, tuber, white, raw","Chou caraïbe, tubercule, blanc, cru"
02_006,"Cocoyam, tuber, boiled* (without salt)","Chou caraïbe, racine, bouillie* (sans sel)",02_006,"Cocoyam, tuber, white, boiled* (without salt), drained","Chou caraïbe, tubercule, blanc, bouilli* (sans sel), égoutté"
02_009,"Potato, raw","Pomme de terre, crue",02_009,"Potato, raw","Pomme de terre, crue"
02_010,"Potato, boiled* (without salt)","Pomme de terre, bouillie* (sans sel)",02_010,"Potato, boiled* (without salt), drained","Pomme de terre, bouillie* (sans sel), égouttée"
02_022,"Sweet potato, pale yellow, raw","Patate douce,  jaune pâle, crue",02_022,"Sweet potato, pale flesh (white/cream/pale yellow), raw","Patate douce, chair claire (blanche/crème/jaune pâle), crue"
02_023,"Sweet potato, pale yellow, boiled* (without salt)","Patate douce,  jaune pâle, bouillie* (sans sel)",02_023,"Sweet potato, pale flesh (white/cream/pale yellow), boiled* (without salt), drained","Patate douce, chair claire (blanche/crème/jaune pâle), bouillie* (sans sel), égouttée"
02_013,"Sweet potato, yellow, raw","Patate douce, jaune, crue",02_013,"Sweet potato, yellow flesh, raw","Patate douce, chair jaune, crue"
02_014,"Sweet potato, yellow, boiled* (without salt)","Patate douce, jaune, bouillie* (sans sel)",02_014,"Sweet potato, yellow flesh, boiled* (without salt), drained","Patate douce, chair jaune, bouillie* (sans sel), égouttée"
02_011,"Sweet potato, deep yellow, raw","Patate douce, jaune foncé, crue",02_011,"Sweet potato, deep yellow flesh, raw","Patate douce, chair jaune foncé, crue"
02_012,"Sweet potato, deep yellow, boiled* (without salt)","Patate douce, jaune foncé, bouillie* (sans sel)",02_012,"Sweet potato, deep yellow flesh, boiled* (without salt), drained","Patate douce, chair jaune foncé, bouillie* (sans sel), égouttée"
02_015,"Taro, tuber, raw","Taro, racine, crue",02_015,"Taro, tuber, white, raw","Taro, tubercule, blanc, cru"
02_016,"Taro, tuber, boiled* (without salt)","Taro, racine, bouillie* (sans sel)",02_016,"Taro, tuber, white, boiled* (without salt), drained","Taro, tubercule, blanc, bouilli* (sans sel), égoutté"
02_024,"Tiger nut, tuber, raw","Gland de terre, racine, crue",02_024,"Tiger nut, tuber, raw","Souchet comestible (« noix tigrée »), tubercule, cru"
02_025,"Tiger nut, tuber, boiled* (without salt)","Gland de terre, racine, bouillie* (sans sel)",02_025,"Tiger nut, tuber, boiled* (without salt), drained","Souchet comestible (« noix tigrée »), tubercule, bouilli* (sans sel), égoutté"
02_026,"Tiger nut, tuber dried","Gland de terre, racine, séchée",02_026,"Tiger nut, tuber, dried","Souchet comestible (« noix tigrée »), tubercule, séché"
02_017,"Water yam, tuber, raw","Grande igname, racine, crue",02_017,"Water yam, tuber, raw","Grande igname, tubercule, crue"
02_018,"Water yam, tuber, boiled* (without salt)","Grande igname, racine, bouillie* (sans sel)",02_018,"Water yam, tuber, boiled* (without salt), drained","Grande igname, tubercule, bouillie* (sans sel), égouttée"
02_019,"Yam tuber, raw","Igname, racine, crue",02_019,"Yam, tuber, pale, raw","Igname, tubercule, chair pâle, cru"
02_020,"Yam tuber, boiled* (without salt)","Igname, racine, bouillie* (sans sel)",02_020,"Yam, tuber, pale, boiled* (without salt), drained","Igname, tubercule, chair pâle, bouilli* (sans sel), égoutté"
02_027,"Yam  tuber, Isu akoko, raw (Nigeria) n=1","Igname, racine, Isu akoko, crue (Nigeria)",02_027,"Yam, tuber, Isu akoko, raw (Nigeria), n=1","Igname, tubercule, Isu akoko, cru (Nigéria), n=1"
